Task,Batch,Config,Model,Prompt,Metric,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,Mean,Std
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,precision,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.625,0.5555555555555556,0.5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5680555555555555,0.04557305445305448
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,recall,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6857142857142857,0.06023386019368344
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,accuracy,0.4166666666666667,0.5,0.5,0.5833333333333334,0.5,0.5833333333333334,0.4166666666666667,0.5,0.4166666666666667,0.5,0.4916666666666667,0.061488732281051825
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,f1,0.5333333333333333,0.6250000000000001,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5333333333333333,0.5714285714285714,0.5333333333333333,0.6250000000000001,0.5897619047619047,0.05257060424167767
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,precision,0.5,0.5555555555555556,0.5714285714285714,0.625,0.5714285714285714,0.625,0.5,0.5714285714285714,0.5,0.5555555555555556,0.5575396825396826,0.04669143543577457
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,recall,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.6285714285714286,0.07377111135633177
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,accuracy,0.5833333333333334,0.5,0.5833333333333334,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.525,0.04025382429497068
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,f1,0.7058823529411764,0.6250000000000001,0.6666666666666666,0.6666666666666665,0.6250000000000001,0.7058823529411764,0.6250000000000001,0.6250000000000001,0.6250000000000001,0.6250000000000001,0.6495098039215687,0.034235828169537436
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,precision,0.6,0.5555555555555556,0.625,0.5454545454545454,0.5555555555555556,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5703787878787879,0.027239465625619293
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,recall,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7571428571428571,0.0690065559342354
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,accuracy,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5833333333333334,0.4166666666666667,0.5,0.5,0.5833333333333334,0.5,0.525,0.05624571314254609
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,f1,0.7058823529411764,0.7368421052631579,0.6666666666666665,0.6250000000000001,0.7058823529411764,0.588235294117647,0.6666666666666665,0.6250000000000001,0.7368421052631579,0.6250000000000001,0.6682017543859649,0.05191999513629747
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,precision,0.6,0.5833333333333334,0.5454545454545454,0.5555555555555556,0.6,0.5,0.5454545454545454,0.5555555555555556,0.5833333333333334,0.5555555555555556,0.5624242424242424,0.03039100585279385
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,recall,0.8571428571428571,1.0,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.8285714285714285,0.1126872339638022
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,accuracy,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.11111111111111112
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,avg_completion_tokens,2,2,2.25,2,2,2,2,2,2,2.1666666666666665,2.0416666666666665,0.09001028747788692
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,f1,0.6666666666666665,0.6666666666666665,0.7058823529411764,0.7368421052631579,0.7368421052631579,0.6666666666666666,0.7777777777777778,0.8750000000000001,0.7368421052631579,0.588235294117647,0.7157421740626074,0.07755107945732478
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,precision,0.5454545454545454,0.5454545454545454,0.6,0.5833333333333334,0.5833333333333334,0.625,0.6363636363636364,0.7777777777777778,0.5833333333333334,0.5,0.5980050505050505,0.07475604817061929
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,recall,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,0.7142857142857143,0.9,0.11761037176408065
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,accuracy,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.55,0.08958064164776167
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,f1,0.7368421052631579,0.7368421052631579,0.6666666666666665,0.6666666666666665,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.5,0.6153846153846153,0.7368421052631579,0.6910706252811516,0.0826106897335616
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,precision,0.5833333333333334,0.5833333333333334,0.5454545454545454,0.5454545454545454,0.5833333333333334,0.5833333333333334,0.6363636363636364,0.4444444444444444,0.6666666666666666,0.5833333333333334,0.5755050505050505,0.05897604594961216
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,recall,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.8857142857142857,0.17561037061510262
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,accuracy,0.5,0.5833333333333334,0.4166666666666667,0.5,0.5833333333333334,0.4166666666666667,0.5,0.5,0.5,0.6666666666666666,0.5166666666666667,0.07657804862272345
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,f1,0.6666666666666665,0.7368421052631579,0.588235294117647,0.6666666666666665,0.7368421052631579,0.588235294117647,0.6666666666666665,0.6250000000000001,0.5,0.7777777777777778,0.6552932576539388,0.08347865218777832
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,precision,0.5454545454545454,0.5833333333333334,0.5,0.5454545454545454,0.5833333333333334,0.5,0.5454545454545454,0.5555555555555556,0.6,0.6363636363636364,0.5594949494949495,0.042651308326502546
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,recall,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.42857142857142855,1.0,0.8142857142857143,0.17880936529065322
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,accuracy,0.5833333333333334,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5416666666666667,0.07081971546656647
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,f1,0.7368421052631579,0.5333333333333333,0.6250000000000001,0.7368421052631579,0.7368421052631579,0.588235294117647,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6904463364293085,0.07780516080003826
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,precision,0.5833333333333334,0.5,0.5555555555555556,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5638888888888889,0.034768487695404804
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,recall,1.0,0.5714285714285714,0.7142857142857143,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,0.9,0.1656431155326294
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,accuracy,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.06804138174397716
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,f1,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5333333333333333,0.7368421052631579,0.7777777777777778,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.7246783625730994,0.06935233109799574
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,precision,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.6363636363636364,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6363636363636364,0.5856060606060607,0.0372934573214093
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,recall,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.9571428571428572,0.1355261854357877
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,accuracy,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5750000000000001,0.06148873228105181
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,avg_completion_tokens,4.916666666666667,6.583333333333333,6.166666666666667,5.75,6.583333333333333,6.166666666666667,7,6.583333333333333,6.583333333333333,6.166666666666667,6.25,0.5826715823167506
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,f1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4615384615384615,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6509157509157509,0.06820250953784592
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,precision,0.625,0.625,0.625,0.5,0.625,0.625,0.625,0.625,0.625,0.7142857142857143,0.6214285714285714,0.05106573949887433
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,recall,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6857142857142857,0.09035079029052513
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,accuracy,0.6666666666666666,0.75,0.5,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.75,0.6666666666666666,0.5833333333333334,0.6416666666666666,0.07905694150420947
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,avg_completion_tokens,1113.8333333333333,872.3333333333334,1051.4166666666667,930.9166666666666,1195.9166666666667,1159.6666666666667,933,968,1077.8333333333333,1073.0833333333333,1037.6,107.14702890173454
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,f1,0.7142857142857143,0.7692307692307692,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.7692307692307692,0.7142857142857143,0.6666666666666666,0.6967032967032967,0.0578862758625783
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,precision,0.7142857142857143,0.8333333333333334,0.5714285714285714,0.7142857142857143,0.625,0.7142857142857143,0.625,0.8333333333333334,0.7142857142857143,0.625,0.6970238095238095,0.08799552844293354
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,recall,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7,0.04517539514526258
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,accuracy,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75,0.75,0.7,0.08050764858994132
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,avg_completion_tokens,743.9166666666666,796.4166666666666,766.8333333333334,768.6666666666666,745.25,709.6666666666666,870.25,672.0833333333334,779.5,697.5,755.0083333333333,56.15395023097849
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,f1,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.7692307692307692,0.7692307692307692,0.7142857142857143,0.7142857142857143,0.8333333333333333,0.7692307692307692,0.7692307692307692,0.7386446886446886,0.05254598295952686
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,precision,0.7142857142857143,0.625,0.625,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.8333333333333334,0.7726190476190476,0.11558455069683128
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,recall,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,accuracy,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.75,0.6666666666666666,0.75,0.75,0.7083333333333334,0.05892556509887896
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,avg_completion_tokens,712.25,734.3333333333334,807.75,644.75,716.9166666666666,803.6666666666666,797.25,710.5833333333334,588.3333333333334,695.75,721.1583333333333,70.39944946210801
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,f1,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.7142857142857143,0.7692307692307692,0.7692307692307692,0.7424908424908424,0.037157376272280586
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,precision,0.625,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7767857142857143,0.07741909926637569
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,recall,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v5,accuracy,0.75,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.75,0.75,0.725,0.06860605019571372
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v5,avg_completion_tokens,806,665.9166666666666,695.9166666666666,753.5833333333334,712.5833333333334,682.25,876.8333333333334,807.8333333333334,769.0833333333334,692.5,746.25,68.39031048256206
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v5,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v5,f1,0.7692307692307692,0.7692307692307692,0.8571428571428571,0.7692307692307692,0.7692307692307692,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7692307692307692,0.7692307692307692,0.7567765567765568,0.05026018347130815
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v5,precision,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.625,0.8333333333333334,0.8333333333333334,0.7910714285714286,0.0777843575124238
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v5,recall,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7285714285714285,0.045175395145262545
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v5,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,meta-llama/Llama-3.1-8B-Instruct,v1,accuracy,0.5,0.0,0.4166666666666667,0.3333333333333333,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.5,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.1711219630918931
GLP,Batch1,extended_ttc,meta-llama/Llama-3.1-8B-Instruct,v1,avg_completion_tokens,23.916666666666668,36.583333333333336,2,42.166666666666664,18.666666666666668,37.083333333333336,20,7.333333333333333,16.916666666666668,16.5,22.116666666666667,13.067028056226949
GLP,Batch1,extended_ttc,meta-llama/Llama-3.1-8B-Instruct,v1,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,extended_ttc,meta-llama/Llama-3.1-8B-Instruct,v1,f1,0.6250000000000001,0.0,0.588235294117647,0.42857142857142855,0.6666666666666667,0.7142857142857143,0.4615384615384615,0.6666666666666666,0.5333333333333333,0.5714285714285715,0.525572613660849,0.20578826416722718
GLP,Batch1,extended_ttc,meta-llama/Llama-3.1-8B-Instruct,v1,precision,0.5555555555555556,0.0,0.5,0.42857142857142855,0.5555555555555556,0.625,0.42857142857142855,0.5,0.5,0.5,0.4593253968253968,0.17174195362187084
GLP,Batch1,extended_ttc,meta-llama/Llama-3.1-8B-Instruct,v1,recall,0.7142857142857143,0.0,0.7142857142857143,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.5,1.0,0.5714285714285714,0.6666666666666666,0.6261904761904762,0.2774487847663139
GLP,Batch1,extended_ttc,meta-llama/Llama-3.1-8B-Instruct,v1,unparseable_rate,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.06666666666666667,0.06573421981221796
GLP,Batch1,extended_ttc,meta-llama/Llama-3.1-8B-Instruct,v2,accuracy,0.36363636363636365,0.5,0.5,0.4166666666666667,0.5,0.4,0.4166666666666667,0.5,0.5454545454545454,0.5833333333333334,0.4725757575757576,0.06989961026174175
