task,batch,config,model,prompt_version,run,n_items,n_scored,tp,fp,fn,tn,accuracy,precision,recall,f1,unparseable_rate,empty_rate,avg_completion_tokens
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,3,12,12,4,3,3,2,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,4,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,5,12,12,4,3,3,2,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,6,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,7,12,12,4,4,3,1,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,8,12,12,4,3,3,2,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,9,12,12,4,4,3,1,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,10,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,1,12,12,6,4,1,1,0.5833333333333334,0.6,0.8571428571428571,0.7058823529411764,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,2,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,3,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,4,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,5,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,6,12,12,6,4,1,1,0.5833333333333334,0.6,0.8571428571428571,0.7058823529411764,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,7,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,8,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,9,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v4,10,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,1,12,12,6,4,1,1,0.5833333333333334,0.6,0.8571428571428571,0.7058823529411764,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,2,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,3,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,4,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,5,12,12,6,4,1,1,0.5833333333333334,0.6,0.8571428571428571,0.7058823529411764,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,6,12,12,5,5,2,0,0.4166666666666667,0.5,0.7142857142857143,0.588235294117647,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,7,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,8,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,9,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v5,10,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,1,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,2,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,3,12,12,6,4,1,1,0.5833333333333334,0.6,0.8571428571428571,0.7058823529411764,0.0,0.0,2.25
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,4,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,5,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,6,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,7,12,12,7,4,0,1,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,8,12,12,7,2,0,3,0.8333333333333334,0.7777777777777778,1.0,0.8750000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,9,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v1,10,12,12,5,5,2,0,0.4166666666666667,0.5,0.7142857142857143,0.588235294117647,0.0,0.0,2.1666666666666665
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,1,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,2,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,3,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,4,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,5,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,6,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,7,12,12,7,4,0,1,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,8,12,12,4,5,3,0,0.3333333333333333,0.4444444444444444,0.5714285714285714,0.5,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,9,12,12,4,2,3,3,0.5833333333333334,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v2,10,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,1,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,2,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,3,12,12,5,5,2,0,0.4166666666666667,0.5,0.7142857142857143,0.588235294117647,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,4,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,5,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,6,12,12,5,5,2,0,0.4166666666666667,0.5,0.7142857142857143,0.588235294117647,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,7,12,12,6,5,1,0,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,8,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,9,12,12,3,2,4,3,0.5,0.6,0.42857142857142855,0.5,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v3,10,12,12,7,4,0,1,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,1,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,2,12,12,4,4,3,1,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,3,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,4,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,5,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,6,12,12,5,5,2,0,0.4166666666666667,0.5,0.7142857142857143,0.588235294117647,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,7,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,8,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,9,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v4,10,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,1,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,2,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,3,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,4,12,12,4,4,3,1,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,5,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,6,12,12,7,4,0,1,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,7,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,8,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,9,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.0,0.0,2
GLP,Batch1,doubled_budget,meta-llama/Llama-3.1-8B-Instruct,v5,10,12,12,7,4,0,1,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.0,0.0,2
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,1,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,4.916666666666667
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,2,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,6.583333333333333
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,3,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,6.166666666666667
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,4,12,12,3,3,4,2,0.4166666666666667,0.5,0.42857142857142855,0.4615384615384615,0.0,0.0,5.75
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,5,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,6.583333333333333
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,6,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,6.166666666666667
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,7,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,7
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,8,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,6.583333333333333
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,9,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,6.583333333333333
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v1,10,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,6.166666666666667
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,1,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,1113.8333333333333
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,2,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,872.3333333333334
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,3,12,12,4,3,3,2,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,1051.4166666666667
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,4,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,930.9166666666666
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,5,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,1195.9166666666667
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,6,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,1159.6666666666667
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,7,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,933
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,8,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,968
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,9,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,1077.8333333333333
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v2,10,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,1073.0833333333333
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,1,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,743.9166666666666
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,2,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,796.4166666666666
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,3,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,766.8333333333334
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,4,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,768.6666666666666
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,5,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,745.25
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,6,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,709.6666666666666
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,7,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,870.25
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,8,12,12,5,0,2,5,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333333,0.0,0.0,672.0833333333334
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,9,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,779.5
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v3,10,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,697.5
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,1,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,712.25
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,2,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,734.3333333333334
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,3,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,807.75
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,4,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,644.75
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,5,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,716.9166666666666
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,6,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,803.6666666666666
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,7,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,797.25
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,8,12,12,5,2,2,3,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,710.5833333333334
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,9,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,588.3333333333334
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v4,10,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,695.75
GLP,Batch1,extended_ttc,Qwen/Qwen3-VL-8B-Instruct,v5,1,12,12,5,1,2,4,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,806
